Time (EDT),AAPL,AMZN,GOOG,MSFT
2024-06-12 09:30:00,207.8350067,186.2100067,181.0350037,433.6400146
2024-06-12 09:31:00,208.1300049,186.4799957,181.6799927,434.6000061
2024-06-12 09:32:00,208.4400024,187.0800018,181.1699982,434.7200012
2024-06-12 09:33:00,209.0825043,187.2315979,182.0695038,435.7001038
2024-06-12 09:34:00,209.7799988,187.3500061,181.8500061,436.1698914
2024-06-12 09:35:00,209.6399994,187.0200043,181.3345032,435.4599915
2024-06-12 09:36:00,209.9349976,187.0308075,180.75,434.7950134
2024-06-12 09:37:00,210.3450012,187.2700043,180.9900055,435.0299988
2024-06-12 09:38:00,210.9799957,187.3600006,180.9299927,434.8250122
2024-06-12 09:39:00,211.4299927,187.6300049,181.4600067,435.6900024
2024-06-12 09:40:00,211.6999969,187.7299957,181.25,435.3900146
2024-06-12 09:41:00,211.1000061,187.6100006,181.1499939,435.9899902
2024-06-12 09:42:00,211.8899994,187.2899933,180.5,435.8499146
2024-06-12 09:43:00,211.947403,187.2510986,180.8500061,436.4949951
2024-06-12 09:44:00,211.8300018,187.1999969,180.75,436.5599976
2024-06-12 09:45:00,212.1119995,187.2899933,180.5399933,436.6400146
2024-06-12 09:46:00,212.3600006,187.0099945,180.6900024,437.2984009
2024-06-12 09:47:00,212.1900024,187.0800018,180.4299927,437.1700134
2024-06-12 09:48:00,212.6399994,187.0753937,180.2604065,436.9700012
2024-06-12 09:49:00,213.0832062,187.3899994,180.4550018,437.5227966
2024-06-12 09:50:00,213.5599976,187.7649994,180.6300049,438.2799988
2024-06-12 09:51:00,213.8300934,187.4199982,180.5899963,437.9100037
2024-06-12 09:52:00,214.2400055,187.5599976,180.9199982,437.7799988
2024-06-12 09:53:00,214.2400055,187.7200012,180.8249969,438.2200012
2024-06-12 09:54:00,214.4299927,187.6399994,180.8999939,438.2099915
2024-06-12 09:55:00,214.1134949,187.6100006,180.6900024,437.9945984
2024-06-12 09:56:00,213.6898956,187.7299957,180.8450012,438.4400024
2024-06-12 09:57:00,213.8099976,187.5599976,180.7200012,438.2149963
2024-06-12 09:58:00,213.5700073,187.3600006,180.9400024,438.3200073
2024-06-12 09:59:00,214.2550049,187.1300049,180.6600037,438.0100098
2024-06-12 10:00:00,214.6705017,187.0691071,180.5500031,437.8399963
2024-06-12 10:01:00,215.6100006,187.2599945,180.3200073,437.7600098
2024-06-12 10:02:00,215.25,187.4199982,180.1799927,437.5549927
2024-06-12 10:03:00,214.7250061,187.2550049,180.0149994,437.7600098
2024-06-12 10:04:00,214.7100983,187.2299957,179.9400024,438.0700073
2024-06-12 10:05:00,214.6049957,187.2050018,179.9400024,437.75
2024-06-12 10:06:00,214.6799927,187.1199951,179.7799988,437.7600098
2024-06-12 10:07:00,215,187.0149994,179.6399994,437.7000122
2024-06-12 10:08:00,214.8600006,186.9700012,179.5,437.3649902
2024-06-12 10:09:00,215.25,186.7879028,179.4100037,437.3399963
2024-06-12 10:10:00,214.8600006,186.6799927,179.4799957,436.9299927
2024-06-12 10:11:00,215.4100037,186.7001038,179.5800018,436.7999878
2024-06-12 10:12:00,214.7649994,186.6199951,179.7164001,436.4899902
2024-06-12 10:13:00,214.8300018,186.7799988,179.6600037,436.2000122
2024-06-12 10:14:00,215.1199951,186.6999969,179.6499939,436.4400024
2024-06-12 10:15:00,215.5050049,186.8450012,179.8099976,436.8299866
2024-06-12 10:16:00,214.7879944,186.8708954,179.6399994,436.9700012
2024-06-12 10:17:00,214.9219971,186.9199982,179.5099945,436.8359985
